Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment 11 (Java)
Thu May 24 04:47:07 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.27
movement?,true
initial-agent-density,53.0
vision,7.0
max-jail-term,30
visualization, N/A
initial-cop-density, 7.8
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],20000,20000,20000,
,
[all run data],JAILED,ACTIVE,QUIET,COPS
,215,12,621,124
,211,16,621,124
,211,16,621,124
,214,13,621,124
,206,21,621,124
,216,11,621,124
,212,15,621,124
,214,13,621,124
,216,11,621,124
,217,10,621,124
,207,20,621,124
,206,21,621,124
,214,13,621,124
,212,15,621,124
,213,14,621,124
,206,21,621,124
,213,13,622,124
,209,17,622,124
,207,18,623,124
,210,15,623,124
,215,10,623,124
,209,16,623,124
,207,18,623,124
,206,19,623,124
,207,18,623,124
,208,17,623,124
,210,15,623,124
,208,17,623,124
,209,16,623,124
,204,21,623,124
,208,17,623,124
,207,18,623,124
,210,15,623,124
,209,16,623,124
,219,6,623,124
,207,23,618,124
,216,14,618,124
,217,13,618,124
,209,19,620,124
,209,19,620,124
,211,17,620,124
,210,18,620,124
,211,17,620,124
,214,14,620,124
,217,10,621,124
,215,12,621,124
,212,15,621,124
,207,20,621,124
,209,18,621,124
,207,20,621,124
,211,16,621,124
,214,13,621,124
,211,16,621,124
,209,17,622,124
,210,16,622,124
,210,16,622,124
,209,17,622,124
,214,11,623,124
,203,22,623,124
,211,14,623,124
,212,13,623,124
,205,20,623,124
,207,18,623,124
,214,11,623,124
,211,14,623,124
,206,19,623,124
,213,12,623,124
,212,13,623,124
,206,18,624,124
,208,16,624,124
,202,22,624,124
,215,9,624,124
,206,18,624,124
,212,12,624,124
,209,15,624,124
,213,11,624,124
,207,17,624,124
,205,19,624,124
,204,20,624,124
,205,19,624,124
,209,15,624,124
,215,9,624,124
,211,13,624,124
,207,17,624,124
,206,18,624,124
,202,22,624,124
,203,21,624,124
,207,17,624,124
,210,24,614,124
,219,12,617,124
,213,18,617,124
,219,12,617,124
,216,15,617,124
,215,16,617,124
,211,20,617,124
,218,13,617,124
,218,12,618,124
,209,21,618,124
,218,12,618,124
,213,19,616,124
,219,11,618,124
,221,8,619,124
,214,15,619,124
,210,19,619,124
,215,13,620,124
,216,12,620,124
,205,23,620,124
,215,12,621,124
,205,21,622,124
,208,18,622,124
,206,19,623,124
,205,20,623,124
,211,14,623,124
,202,22,624,124
,210,15,623,124
,212,13,623,124
,204,21,623,124
,209,17,622,124
,211,15,622,124
,209,17,622,124
,215,11,622,124
,213,13,622,124
,210,16,622,124
,213,13,622,124
,201,26,621,124
,207,20,621,124
,213,14,621,124
,208,19,621,124
,204,23,621,124
,215,12,621,124
,210,17,621,124
,216,11,621,124
,209,18,621,124
,218,9,621,124
,211,16,621,124
,213,14,621,124
,211,17,620,124
,207,20,621,124
,213,14,621,124
,211,15,622,124
,210,16,622,124
,212,14,622,124
,210,16,622,124
,213,13,622,124
,201,25,622,124
,206,20,622,124
,208,17,623,124
,212,13,623,124
,206,19,623,124
,214,11,623,124
,213,12,623,124
,216,9,623,124
,211,14,623,124
,213,12,623,124
,202,23,623,124
,212,13,623,124
,207,18,623,124
,202,23,623,124
,214,11,623,124
,214,11,623,124
,210,15,623,124
,212,13,623,124
,206,19,623,124
,205,20,623,124
,210,14,624,124
,211,13,624,124
,212,15,621,124
,213,14,621,124
,208,19,621,124
,219,8,621,124
,213,14,621,124
,208,19,621,124
,212,15,621,124
,208,19,621,124
,208,19,621,124
,206,21,621,124
,215,11,622,124
,203,23,622,124
,208,18,622,124
,218,8,622,124
,212,14,622,124
,211,14,623,124
,200,25,623,124
,204,21,623,124
,213,12,623,124
,207,19,622,124
,205,21,622,124
,210,16,622,124
,213,13,622,124
,209,17,622,124
,208,18,622,124
,210,15,623,124
,213,12,623,124
,214,11,623,124
,208,17,623,124
,208,17,623,124
,211,14,623,124
,207,18,623,124
,210,15,623,124
,204,21,623,124
,207,18,623,124
,209,16,623,124
,207,18,623,124
,209,16,623,124
,210,15,623,124
,213,12,623,124
,210,15,623,124
,206,19,623,124
,215,10,623,124
,208,17,623,124
,207,18,623,124
,212,13,623,124
,213,12,623,124
,213,12,623,124
,210,14,624,124
,207,17,624,124
,207,17,624,124
,216,8,624,124
,213,11,624,124
,211,13,624,124
,207,17,624,124
,205,19,624,124
,205,19,624,124
,205,19,624,124
,204,20,624,124
,204,20,624,124
,207,17,624,124
,202,22,624,124
,208,16,624,124
,204,20,624,124
,216,8,624,124
,209,15,624,124
,210,14,624,124
,213,11,624,124
,205,19,624,124
,209,15,624,124
,203,21,624,124
,208,16,624,124
,214,16,618,124
,214,14,620,124
,215,12,621,124
,214,13,621,124
,214,13,621,124
,202,25,621,124
,207,22,619,124
,212,17,619,124
,218,11,619,124
,215,13,620,124
,212,16,620,124
,212,16,620,124
,218,9,621,124
,205,23,620,124
,215,13,620,124
,212,16,620,124
,210,18,620,124
,206,22,620,124
,217,11,620,124
,212,14,622,124
,213,12,623,124
,212,13,623,124
,210,15,623,124
,207,18,623,124
,211,14,623,124
,208,16,624,124
,211,13,624,124
,208,16,624,124
,205,19,624,124
,210,14,624,124
,207,17,624,124
,209,15,624,124
,206,18,624,124
,206,18,624,124
,207,17,624,124
,216,8,624,124
,205,19,624,124
,209,15,624,124
,206,18,624,124
,205,19,624,124
,206,18,624,124
,200,26,622,124
,211,15,622,124
,210,16,622,124
,212,14,622,124
,208,17,623,124
,210,15,623,124
,208,17,623,124
,211,15,622,124
,210,16,622,124
,208,20,620,124
,213,15,620,124
,214,14,620,124
,209,21,618,124
,217,14,617,124
,219,12,617,124
,217,14,617,124
,216,15,617,124
,216,15,617,124
,212,19,617,124
,218,13,617,124
,217,13,618,124
,213,16,619,124
,219,10,619,124
,217,11,620,124
,213,16,619,124
,210,19,619,124
,217,12,619,124
,208,21,619,124
,209,20,619,124
,213,16,619,124
,212,17,619,124
,212,15,621,124
,211,16,621,124
,213,13,622,124
,210,16,622,124
,207,19,622,124
,206,19,623,124
,217,8,623,124
,210,15,623,124
,212,13,623,124
,219,6,623,124
,214,11,623,124
,214,11,623,124
,209,16,623,124
,213,12,623,124
,209,17,622,124
,212,14,622,124
,213,13,622,124
,210,16,622,124
,205,21,622,124
,209,16,623,124
,211,14,623,124
,208,17,623,124
,209,16,623,124
,202,28,618,124
,213,17,618,124
,217,12,619,124
,219,10,619,124
,219,10,619,124
,203,27,618,124
,212,18,618,124
,211,22,615,124
,216,17,615,124
,215,17,616,124
,220,12,616,124
,213,19,616,124
,209,22,617,124
,212,19,617,124
,217,13,618,124
,220,9,619,124
,214,14,620,124
,212,15,621,124
,213,14,621,124
,209,18,621,124
,211,16,621,124
,214,13,621,124
,215,12,621,124
,211,16,621,124
,210,17,621,124
,211,16,621,124
,214,13,621,124
,208,19,621,124
,211,16,621,124
,207,20,621,124
,211,15,622,124
,213,13,622,124
,211,15,622,124
,210,16,622,124
,208,17,623,124
,207,18,623,124
,208,16,624,124
,213,11,624,124
,216,8,624,124
,204,20,624,124
,210,14,624,124
,213,11,624,124
,211,13,624,124
,207,17,624,124
,207,17,624,124
,211,13,624,124
,210,14,624,124
,214,10,624,124
,211,15,622,124
,208,18,622,124
,208,17,623,124
,210,15,623,124
,210,15,623,124
,206,19,623,124
,210,15,623,124
,207,18,623,124
,208,17,623,124
,214,11,623,124
,212,13,623,124
,208,17,623,124
,215,10,623,124
,208,16,624,124
,210,14,624,124
,212,12,624,124
,209,15,624,124
,206,18,624,124
,211,13,624,124
,207,17,624,124
,212,12,624,124
,206,18,624,124
,205,19,624,124
,211,13,624,124
,202,22,624,124
,208,16,624,124
,209,15,624,124
,206,18,624,124
,212,12,624,124
,207,17,624,124
,212,12,624,124
,206,18,624,124
,202,22,624,124
,208,16,624,124
,210,15,623,124
,206,20,622,124
,213,13,622,124
,208,18,622,124
,216,10,622,124
,215,11,622,124
,214,12,622,124
,206,20,622,124
,212,14,622,124
,204,22,622,124
,213,13,622,124
,216,11,621,124
,214,12,622,124
,216,10,622,124
,213,13,622,124
,213,13,622,124
,207,19,622,124
,206,20,622,124
,211,15,622,124
,207,19,622,124
,221,5,622,124
,213,13,622,124
,209,17,622,124
,208,17,623,124
,210,15,623,124
,201,25,622,124
,215,10,623,124
,210,14,624,124
,212,12,624,124
,207,17,624,124
,204,22,622,124
,209,17,622,124
,207,19,622,124
,212,14,622,124
,208,18,622,124
,213,12,623,124
,211,14,623,124
,212,15,621,124
,205,21,622,124
,210,16,622,124
,213,14,621,124
,206,21,621,124
,213,14,621,124
,203,24,621,124
,219,8,621,124
,218,9,621,124
,208,19,621,124
,213,14,621,124
,214,13,621,124
,209,20,619,124
,213,15,620,124
,211,17,620,124
,210,18,620,124
,214,14,620,124
,217,10,621,124
,212,15,621,124
,215,12,621,124
,214,13,621,124
,210,18,620,124
,213,14,621,124
,213,14,621,124
,208,19,621,124
,219,8,621,124
,212,19,617,124
,214,15,619,124
,209,20,619,124
,211,17,620,124
,218,10,620,124
,217,11,620,124
,210,17,621,124
,210,17,621,124
,208,19,621,124
,209,17,622,124
,219,7,622,124
,215,11,622,124
,207,19,622,124
,212,14,622,124
,213,13,622,124
,211,15,622,124
,211,15,622,124
,204,22,622,124
,211,15,622,124
,201,25,622,124
,210,16,622,124
,211,15,622,124
,211,15,622,124
,219,7,622,124
,207,19,622,124
,209,16,623,124
,206,18,624,124
,212,12,624,124
,211,13,624,124
,205,20,623,124
,214,10,624,124
,209,16,623,124
,209,16,623,124
,213,12,623,124
,209,16,623,124
,210,15,623,124
,213,12,623,124
,210,15,623,124
,210,15,623,124
,209,16,623,124
,214,11,623,124
,207,18,623,124
,213,12,623,124
,210,15,623,124
,207,18,623,124
,206,19,623,124
,206,19,623,124
,215,10,623,124
,204,21,623,124
,198,27,623,124
,205,20,623,124
,204,21,623,124
,202,23,623,124
,205,20,623,124
,210,15,623,124
,211,14,623,124
,204,21,623,124
,207,18,623,124
,213,12,623,124
,208,17,623,124
,208,16,624,124
,211,13,624,124
,212,12,624,124
,203,21,624,124
,213,11,624,124
,210,14,624,124
,210,14,624,124
,212,12,624,124
,208,16,624,124
,208,16,624,124
,212,12,624,124
,213,11,624,124
,212,12,624,124
,212,12,624,124
,205,19,624,124
,210,14,624,124
,204,20,624,124
,205,19,624,124
,200,24,624,124
,210,14,624,124
,214,10,624,124
,215,9,624,124
,204,22,622,124
,204,22,622,124
,207,19,622,124
,214,12,622,124
,213,13,622,124
,208,18,622,124
,209,16,623,124
,210,15,623,124
,219,6,623,124
,212,13,623,124
,212,13,623,124
,203,22,623,124
,208,17,623,124
,212,13,623,124
,215,10,623,124
,208,17,623,124
,209,16,623,124
,212,13,623,124
,204,21,623,124
,214,11,623,124
,207,18,623,124
,209,16,623,124
,207,19,622,124
,205,21,622,124
,211,15,622,124
,215,11,622,124
,212,14,622,124
,208,17,623,124
,209,16,623,124
,207,18,623,124
,205,20,623,124
,207,18,623,124
,218,7,623,124
,208,17,623,124
,207,18,623,124
,210,15,623,124
,213,12,623,124
,206,19,623,124
,212,13,623,124
,208,17,623,124
,211,14,623,124
,204,20,624,124
,208,16,624,124
,198,26,624,124
,200,24,624,124
,206,18,624,124
,215,9,624,124
,209,15,624,124
,218,6,624,124
,212,12,624,124
,207,17,624,124
,207,17,624,124
,209,17,622,124
,210,20,618,124
,221,9,618,124
,215,15,618,124
,204,26,618,124
,211,19,618,124
,219,10,619,124
,214,15,619,124
,217,11,620,124
,214,14,620,124
,207,21,620,124
,216,12,620,124
,214,14,620,124
,211,17,620,124
,208,20,620,124
,205,22,621,124
,206,22,620,124
,219,9,620,124
,212,16,620,124
,207,21,620,124
,214,14,620,124
,210,17,621,124
,215,12,621,124
,212,15,621,124
,211,16,621,124
,213,13,622,124
,203,23,622,124
,204,22,622,124
,209,17,622,124
,210,15,623,124
,210,15,623,124
,208,17,623,124
,208,17,623,124
,213,11,624,124
,211,13,624,124
,209,15,624,124
,213,11,624,124
,206,18,624,124
,205,19,624,124
,213,11,624,124
,198,26,624,124
,209,17,622,124
,210,16,622,124
,206,20,622,124
,213,13,622,124
,208,18,622,124
,208,18,622,124
,209,17,622,124
,209,16,623,124
,207,18,623,124
,214,11,623,124
,215,10,623,124
,205,20,623,124
,213,12,623,124
,215,10,623,124
,214,11,623,124
,211,14,623,124
,213,12,623,124
,208,17,623,124
,207,17,624,124
,204,20,624,124
,216,8,624,124
,206,18,624,124
,208,16,624,124
,208,16,624,124
,210,14,624,124
,217,7,624,124
,212,12,624,124
,213,11,624,124
,212,12,624,124
,205,19,624,124
,204,20,624,124
,209,19,620,124
,217,11,620,124
,218,10,620,124
,214,13,621,124
,214,13,621,124
,212,15,621,124
,212,15,621,124
,203,23,622,124
,204,22,622,124
,206,20,622,124
,210,16,622,124
,207,19,622,124
,214,12,622,124
,209,17,622,124
,207,19,622,124
,214,12,622,124
,210,15,623,124
,204,21,623,124
,208,17,623,124
,211,14,623,124
,219,6,623,124
,212,12,624,124
,210,14,624,124
,216,8,624,124
,213,11,624,124
,194,30,624,124
,205,19,624,124
,210,14,624,124
,208,16,624,124
,205,19,624,124
,207,17,624,124
,208,16,624,124
,209,15,624,124
,210,14,624,124
,214,10,624,124
,207,17,624,124
,211,13,624,124
,209,15,624,124
,200,24,624,124
,211,13,624,124
,208,16,624,124
,210,14,624,124
,206,18,624,124
,208,16,624,124
,214,10,624,124
,206,18,624,124
,213,11,624,124
,213,11,624,124
,207,17,624,124
,209,15,624,124
,210,14,624,124
,210,14,624,124
,210,14,624,124
,205,19,624,124
,214,10,624,124
,208,16,624,124
,213,11,624,124
,203,21,624,124
,214,10,624,124
,212,12,624,124
,207,17,624,124
,211,13,624,124
,200,24,624,124
,208,16,624,124
,214,10,624,124
,211,18,619,124
,209,20,619,124
,212,17,619,124
,210,19,619,124
,211,18,619,124
,209,20,619,124
,210,19,619,124
,212,17,619,124
,215,13,620,124
,217,11,620,124
,212,16,620,124
,220,7,621,124
,216,11,621,124
,212,15,621,124
,211,16,621,124
,211,16,621,124
,210,17,621,124
,210,16,622,124
,211,15,622,124
,202,23,623,124
,210,15,623,124
,204,21,623,124
,210,15,623,124
,211,14,623,124
,213,12,623,124
,206,19,623,124
,207,18,623,124
,213,12,623,124
,214,10,624,124
,211,13,624,124
,211,13,624,124
,208,16,624,124
,210,14,624,124
,212,12,624,124
,211,13,624,124
,207,17,624,124
,209,16,623,124
,216,9,623,124
,212,13,623,124
,217,8,623,124
,212,13,623,124
,211,14,623,124
,213,13,622,124
,197,29,622,124
,204,22,622,124
,213,13,622,124
,211,15,622,124
,213,13,622,124
,210,16,622,124
,209,17,622,124
,206,19,623,124
,208,17,623,124
,211,14,623,124
,205,20,623,124
,209,16,623,124
,214,11,623,124
,209,16,623,124
,204,21,623,124
,209,16,623,124
,215,10,623,124
,209,16,623,124
,202,23,623,124
,211,14,623,124
,205,20,623,124
,214,11,623,124
,216,9,623,124
,212,13,623,124
,206,19,623,124
,205,20,623,124
,214,10,624,124
,211,13,624,124
,206,18,624,124
,212,12,624,124
,208,16,624,124
,212,12,624,124
,214,10,624,124
,209,15,624,124
,214,10,624,124
,211,13,624,124
,205,19,624,124
,210,14,624,124
,209,15,624,124
,206,18,624,124
,208,16,624,124
,207,18,623,124
,205,20,623,124
,212,13,623,124
,209,16,623,124
,210,15,623,124
,213,12,623,124
,208,17,623,124
,212,13,623,124
,209,15,624,124
,211,13,624,124
,206,18,624,124
,215,9,624,124
,201,24,623,124
,206,19,623,124
,210,15,623,124
,213,12,623,124
,211,14,623,124
,211,14,623,124
,209,16,623,124
,215,10,623,124
,215,11,622,124
,208,18,622,124
,212,14,622,124
,212,14,622,124
,210,16,622,124
,208,18,622,124
,211,15,622,124
,210,16,622,124
,215,11,622,124
,203,23,622,124
,211,15,622,124
,206,21,621,124
,210,16,622,124
,215,10,623,124
,210,15,623,124
,206,19,623,124
,197,28,623,124
,213,12,623,124
,212,13,623,124
,209,16,623,124
,214,11,623,124
,212,12,624,124
,208,16,624,124
,208,16,624,124
,215,9,624,124
,207,17,624,124
,212,12,624,124
,206,18,624,124
,208,16,624,124
,210,14,624,124
,210,14,624,124
,213,11,624,124
,211,13,624,124
,203,21,624,124
,206,18,624,124
,209,15,624,124
,209,15,624,124
,206,18,624,124
,208,16,624,124
,212,12,624,124
,211,13,624,124
,211,13,624,124
,206,18,624,124
,210,14,624,124
,206,18,624,124
,210,14,624,124
,214,10,624,124
,208,18,622,124
,206,19,623,124
,207,18,623,124
,206,19,623,124
,206,19,623,124
,210,15,623,124
,211,14,623,124
,212,13,623,124
,211,14,623,124
,210,15,623,124
,207,18,623,124
,202,23,623,124
,211,14,623,124
,215,10,623,124
,212,13,623,124
,206,19,623,124
,201,24,623,124
,207,18,623,124
,213,12,623,124
,209,16,623,124
,208,17,623,124
,211,14,623,124
,205,20,623,124
,208,17,623,124
,204,20,624,124
,208,16,624,124
,206,18,624,124
,211,13,624,124
,212,13,623,124
,204,21,623,124
,208,17,623,124
,211,14,623,124
,214,11,623,124
,209,17,622,124
,206,21,621,124
,207,37,604,124
,224,12,612,124
,222,14,612,124
,215,21,612,124
,218,17,613,124
,217,17,614,124
,219,15,614,124
,219,15,614,124
,222,11,615,124
,220,13,615,124
,208,25,615,124
,220,13,615,124
,218,15,615,124
,215,16,617,124
,218,13,617,124
,215,15,618,124
,213,16,619,124
,208,20,620,124
,215,12,621,124
,211,14,623,124
,207,18,623,124
,210,18,620,124
,218,10,620,124
,220,8,620,124
,214,14,620,124
,208,20,620,124
,211,16,621,124
,212,15,621,124
,207,19,622,124
,208,18,622,124
,215,10,623,124
,211,14,623,124
,214,11,623,124
,214,10,624,124
,206,18,624,124
,209,15,624,124
,212,12,624,124
,211,13,624,124
,205,19,624,124
,204,20,624,124
,202,22,624,124
,201,24,623,124
,208,20,620,124
,209,17,622,124
,207,19,622,124
,212,14,622,124
,211,15,622,124
,207,19,622,124
,214,12,622,124
,215,11,622,124
,208,17,623,124
,208,18,622,124
,212,14,622,124
,215,11,622,124
,206,21,621,124
,210,17,621,124
,214,14,620,124
,213,19,616,124
,211,20,617,124
,219,12,617,124
,217,13,618,124
,212,18,618,124
,220,10,618,124
,217,13,618,124
,216,14,618,124
,210,20,618,124
,206,24,618,124
,207,22,619,124
,210,19,619,124
,222,6,620,124
,217,11,620,124
,210,18,620,124
,213,15,620,124
,210,17,621,124
,212,15,621,124
,216,11,621,124
,214,13,621,124
,217,10,621,124
,210,16,622,124
,213,13,622,124
,206,19,623,124
,206,18,624,124
,208,16,624,124
,208,16,624,124
,206,18,624,124
,208,16,624,124
,213,11,624,124
,208,16,624,124
,206,18,624,124
,209,15,624,124
,209,16,623,124
,212,13,623,124
,210,15,623,124
,211,14,623,124
,209,16,623,124
,207,18,623,124
,211,14,623,124
,205,20,623,124
,212,12,624,124
,214,10,624,124
,214,10,624,124
,202,22,624,124
,212,12,624,124
,209,15,624,124
,206,18,624,124
,208,16,624,124
,209,15,624,124
,199,25,624,124
,208,17,623,124
,204,21,623,124
,211,14,623,124
,211,14,623,124
,200,25,623,124
,209,16,623,124
,209,16,623,124
,208,17,623,124
,211,13,624,124
,207,17,624,124
,212,12,624,124
,211,13,624,124
,215,9,624,124
,210,14,624,124
,205,19,624,124
,208,16,624,124
,211,13,624,124
,215,9,624,124
,213,11,624,124
,212,12,624,124
,205,24,619,124
,212,17,619,124
,214,15,619,124
,218,10,620,124
,213,15,620,124
,202,26,620,124
,215,13,620,124
,216,12,620,124
,214,14,620,124
,206,22,620,124
,210,18,620,124
,205,22,621,124
,215,12,621,124
,211,17,620,124
,215,13,620,124
,212,16,620,124
,214,14,620,124
,213,15,620,124
,214,14,620,124
,216,11,621,124
,209,19,620,124
,214,14,620,124
,210,18,620,124
,209,19,620,124
,212,16,620,124
,209,18,621,124
,208,19,621,124
,217,9,622,124
,206,20,622,124
,210,16,622,124
,205,21,622,124
,210,16,622,124
,211,15,622,124
,209,17,622,124
,211,15,622,124
,219,7,622,124
,209,17,622,124
,203,22,623,124
,207,18,623,124
,214,11,623,124
,212,13,623,124
,212,13,623,124
,212,13,623,124
,207,22,619,124
,208,21,619,124
,207,21,620,124
,211,17,620,124
,216,12,620,124
,212,15,621,124
,213,14,621,124
,212,15,621,124
,217,10,621,124
,212,15,621,124
,214,13,621,124
,211,16,621,124
,210,15,623,124
,218,7,623,124
,207,18,623,124
,209,16,623,124
,213,12,623,124
,208,17,623,124
,209,16,623,124
,214,11,623,124
,205,20,623,124
,214,11,623,124
,212,13,623,124
,205,20,623,124
,206,21,621,124
,207,20,621,124
,217,10,621,124
,213,14,621,124
,207,19,622,124
,201,24,623,124
,205,20,623,124
,212,13,623,124
,207,18,623,124
,210,15,623,124
,205,20,623,124
,204,21,623,124
,203,22,623,124
,210,15,623,124
,213,12,623,124
,208,16,624,124
,213,11,624,124
,208,16,624,124
,214,10,624,124
,203,21,624,124
,210,14,624,124
,205,19,624,124
,211,16,621,124
,215,12,621,124
,212,15,621,124
,210,17,621,124
,212,15,621,124
,216,11,621,124
,219,8,621,124
,213,14,621,124
,208,19,621,124
,206,22,620,124
,215,13,620,124
,212,16,620,124
,212,16,620,124
,211,17,620,124
,213,15,620,124
,218,10,620,124
,204,23,621,124
,204,23,621,124
,209,18,621,124
,216,11,621,124
,211,15,622,124
,207,19,622,124
,209,17,622,124
,211,15,622,124
,211,15,622,124
,212,14,622,124
,214,12,622,124
,214,12,622,124
,216,9,623,124
,208,16,624,124
,212,12,624,124
,210,14,624,124
,210,15,623,124
,207,18,623,124
,208,17,623,124
,209,16,623,124
,216,9,623,124
,209,16,623,124
,205,20,623,124
,214,11,623,124
,210,15,623,124
,211,14,623,124
,208,17,623,124
,208,26,614,124
,207,23,618,124
,212,18,618,124
,217,13,618,124
,214,16,618,124
,215,15,618,124
,218,12,618,124
,216,13,619,124
,209,20,619,124
,211,17,620,124
,216,12,620,124
,216,12,620,124
,212,16,620,124
,208,19,621,124
,203,24,621,124
,214,12,622,124
,212,14,622,124
,196,29,623,124
,211,14,623,124
,207,18,623,124
,211,14,623,124
,209,16,623,124
,209,15,624,124
,213,11,624,124
,207,17,624,124
,213,11,624,124
,215,9,624,124
,214,10,624,124
,205,19,624,124
,203,21,624,124
,210,14,624,124
,214,10,624,124
,215,9,624,124
,211,13,624,124
,213,11,624,124
,207,17,624,124
,207,17,624,124
,213,11,624,124
,215,9,624,124
,202,22,624,124
,210,14,624,124
,211,13,624,124
,201,23,624,124
,208,16,624,124
,211,13,624,124
,204,20,624,124
,198,26,624,124
,208,16,624,124
,209,15,624,124
,207,18,623,124
,213,12,623,124
,207,18,623,124
,200,33,615,124
,206,23,619,124
,215,14,619,124
,217,10,621,124
,215,12,621,124
,215,12,621,124
,214,12,622,124
,212,14,622,124
,213,13,622,124
,217,9,622,124
,209,17,622,124
,212,14,622,124
,211,15,622,124
,216,10,622,124
,207,19,622,124
,207,19,622,124
,210,16,622,124
,208,17,623,124
,210,15,623,124
,206,19,623,124
,210,15,623,124
,208,17,623,124
,207,18,623,124
,211,14,623,124
,211,14,623,124
,209,17,622,124
,212,14,622,124
,218,8,622,124
,216,9,623,124
,207,18,623,124
,207,18,623,124
,212,13,623,124
,213,12,623,124
,212,13,623,124
,202,23,623,124
,209,16,623,124
,211,14,623,124
,212,13,623,124
,214,11,623,124
,214,11,623,124
,207,18,623,124
,207,18,623,124
,207,18,623,124
,205,22,621,124
,210,17,621,124
,206,21,621,124
,205,23,620,124
,219,9,620,124
,215,12,621,124
